
Here is a simulation of 5 Batches running`

Loaded batch 1 to simulation at time 0
Loaded batch 1 to task 1 at time 0
Unloaded batch 1 from task 1 at time 16.0
Loaded batch 1 to task 2 at time 17.0
Loaded batch 2 to simulation at time 60
Loaded batch 2 to task 1 at time 60
Unloaded batch 2 from task 1 at time 78.0
Loaded batch 3 to simulation at time 120
Loaded batch 3 to task 1 at time 120
Unloaded batch 1 from task 2 at time 123.0
Loaded batch 2 to task 2 at time 123.0
Unloaded batch 3 from task 1 at time 134.0
Loaded batch 1 to task 3 at time 134.0
Unloaded batch 1 from task 3 at time 171.0
Loaded batch 1 to task 4 at time 172.0
Loaded batch 4 to simulation at time 180
Loaded batch 4 to task 1 at time 180
Unloaded batch 4 from task 1 at time 202.0
Loaded batch 5 to simulation at time 240
Loaded batch 5 to task 1 at time 240
Unloaded batch 2 from task 2 at time 243.0
Loaded batch 3 to task 2 at time 243.0
Unloaded batch 5 from task 1 at time 251.0
Loaded batch 2 to task 3 at time 251.0
Unloaded batch 1 from task 4 at time 263.0
Unloaded batch 2 from task 3 at time 293.0
Loaded batch 2 to task 4 at time 294.0
Unloaded batch 3 from task 2 at time 335.0
Loaded batch 4 to task 2 at time 335.0
Loaded batch 3 to task 3 at time 336.0
Unloaded batch 3 from task 3 at time 368.0
Unloaded batch 2 from task 4 at time 397.0
Loaded batch 3 to task 4 at time 397.0
Unloaded batch 3 from task 4 at time 476.0
Unloaded batch 4 from task 2 at time 483.0
Loaded batch 5 to task 2 at time 483.0
Loaded batch 4 to task 3 at time 484.0
Unloaded batch 4 from task 3 at time 535.0
Unloaded batch 5 from task 2 at time 558.0
Loaded batch 1 to task 5 at time 558.0
Loaded batch 5 to task 3 at time 559.0
Unloaded batch 1 from task 5 at time 583.0
Loaded batch 2 to task 5 at time 583.0
Unloaded batch 5 from task 3 at time 585.0
Loaded batch 1 to task 6 at time 585.0
Loaded batch 4 to task 4 at time 586.0
Unloaded batch 1 from task 6 at time 601.0
Unloaded batch 2 from task 5 at time 611.0
Loaded batch 3 to task 5 at time 611.0
Loaded batch 2 to task 6 at time 612.0
Unloaded batch 2 from task 6 at time 630.0
Unloaded batch 3 from task 5 at time 633.0
Loaded batch 1 to task 7 at time 633.0
Loaded batch 3 to task 6 at time 634.0
Unloaded batch 3 from task 6 at time 648.0
Unloaded batch 1 from task 7 at time 664.0
Loaded batch 2 to task 7 at time 664.0
Unloaded batch 2 from task 7 at time 699.0
Loaded batch 3 to task 7 at time 699.0
Unloaded batch 4 from task 4 at time 713.0
Loaded batch 5 to task 4 at time 713.0
Unloaded batch 3 from task 7 at time 726.0
Loaded batch 4 to task 5 at time 726.0
Unloaded batch 4 from task 5 at time 761.0
Loaded batch 4 to task 6 at time 762.0
Unloaded batch 5 from task 4 at time 777.0
Loaded batch 1 to task 8 at time 777.0
Loaded batch 5 to task 5 at time 778.0
Unloaded batch 4 from task 6 at time 784.0
Unloaded batch 5 from task 5 at time 796.0
Loaded batch 4 to task 7 at time 796.0
Loaded batch 5 to task 6 at time 797.0
Unloaded batch 5 from task 6 at time 808.0
Unloaded batch 1 from task 8 at time 835.0
Loaded batch 2 to task 8 at time 835.0
Loaded batch 1 to task 9 at time 836.0
Unloaded batch 4 from task 7 at time 839.0
Loaded batch 5 to task 7 at time 839.0
Unloaded batch 1 from task 9 at time 846.0
Unloaded batch 5 from task 7 at time 861.0
Unloaded batch 2 from task 8 at time 901.0
Loaded batch 3 to task 8 at time 901.0
Loaded batch 2 to task 9 at time 902.0
Unloaded batch 2 from task 9 at time 913.0
Unloaded batch 3 from task 8 at time 951.0
Loaded batch 4 to task 8 at time 951.0
Loaded batch 3 to task 9 at time 952.0
Unloaded batch 3 from task 9 at time 961.0
Unloaded batch 4 from task 8 at time 1032.0
Loaded batch 5 to task 8 at time 1032.0
Loaded batch 4 to task 9 at time 1033.0
Unloaded batch 4 from task 9 at time 1047.0
Unloaded batch 5 from task 8 at time 1073.0
Loaded batch 5 to task 9 at time 1074.0
Unloaded batch 5 from task 9 at time 1081.0
