Risk Factor,Early Completion Dates,Project Result,Actual duration
1.2,"[0, 14, 21, 19, 17, 26, 33, 35, 31, 46, 50, 51]",Acceptable,395
0.8,"[0, 12, 17, 18, 15, 21, 28, 32, 24, 41, 45, 44]",Successful,374
0.8,"[0, 14, 18, 23, 17, 25, 30, 33, 32, 41, 48, 45]",Successful,344
1.2,"[0, 7, 14, 12, 10, 18, 27, 27, 25, 35, 42, 40]",Successful,375
1.0,"[0, 14, 20, 20, 18, 25, 32, 34, 31, 40, 45, 45]",Successful,372
1.0,"[0, 13, 20, 21, 16, 25, 30, 32, 32, 40, 47, 43]",Acceptable,391
1.4,"[0, 14, 21, 21, 20, 25, 30, 30, 33, 38, 44, 43]",Acceptable,406
1.2,"[0, 16, 25, 23, 20, 29, 37, 36, 38, 46, 53, 50]",Acceptable,418
0.8,"[0, 13, 17, 17, 17, 22, 26, 30, 29, 34, 41, 37]",Successful,338
1.0,"[0, 13, 19, 17, 16, 22, 27, 28, 29, 38, 46, 42]",Acceptable,414
