Risk Factor,Early Completion Dates,Project Result,Actual duration
1.0,"[0, 16, 24, 21, 19, 28, 36, 38, 34, 47, 54, 50, 57, 72, 100, 119, 140, 144, 161, 168, 176, 167, 166, 183, 193, 188, 187, 187, 202, 210, 206, 224, 219, 213, 261, 246]",Acceptable,413
1.4,"[0, 9, 15, 17, 14, 22, 28, 28, 30, 41, 46, 46, 49, 65, 83, 101, 119, 137, 157, 165, 172, 164, 161, 180, 189, 186, 185, 185, 197, 206, 201, 220, 214, 212, 246, 246]",Acceptable,392
1.2,"[0, 14, 21, 22, 19, 26, 30, 34, 32, 45, 53, 50, 56, 64, 82, 100, 120, 121, 142, 150, 155, 149, 146, 163, 170, 169, 166, 166, 179, 189, 184, 204, 197, 191, 236, 239]",Successful,386
1.4,"[0, 12, 17, 21, 16, 25, 28, 36, 33, 42, 48, 48, 53, 64, 89, 112, 133, 138, 147, 153, 164, 153, 152, 175, 184, 183, 180, 178, 194, 205, 200, 212, 212, 208, 255, 251]",Acceptable,404
1.0,"[0, 13, 19, 19, 17, 23, 29, 29, 31, 37, 45, 41, 49, 60, 84, 93, 122, 134, 153, 158, 167, 159, 158, 174, 181, 179, 178, 179, 191, 199, 196, 209, 205, 204, 236, 231]",Successful,380
0.8,"[0, 16, 24, 21, 19, 27, 33, 32, 32, 40, 45, 43, 50, 67, 86, 107, 130, 147, 161, 164, 169, 167, 165, 179, 186, 184, 182, 182, 193, 201, 197, 215, 211, 204, 245, 239]",Successful,382
1.0,"[0, 14, 22, 21, 19, 26, 34, 34, 31, 42, 47, 46, 50, 63, 84, 104, 122, 140, 154, 159, 165, 160, 159, 170, 177, 176, 174, 174, 185, 192, 190, 203, 200, 195, 231, 236]",Successful,384
0.8,"[0, 12, 17, 18, 17, 20, 26, 30, 24, 39, 44, 42, 48, 64, 88, 104, 119, 132, 146, 151, 160, 150, 150, 166, 171, 171, 168, 170, 178, 185, 182, 197, 192, 190, 225, 232]",Successful,365
0.8,"[0, 11, 15, 19, 17, 23, 30, 28, 28, 39, 45, 45, 48, 62, 79, 93, 110, 114, 136, 141, 153, 141, 140, 164, 170, 169, 168, 167, 175, 183, 179, 195, 191, 186, 217, 220]",Successful,356
1.2,"[0, 15, 23, 22, 20, 28, 34, 38, 35, 44, 50, 47, 54, 63, 86, 107, 132, 130, 153, 160, 162, 160, 159, 169, 174, 177, 174, 173, 188, 193, 193, 205, 203, 196, 242, 234]",Acceptable,391
